type	latitude	longitude	altitude (m)	eos	color	opacity	name	desc	kml_folder
T	-1.098490078	37.013518787	1523.3						
T	-1.098490010	37.013497627	1523.3						
T	-1.098494191	37.013480697	1523.4						
T	-1.098498359	37.013459532	1523.4						
T	-1.098502528	37.013438365	1523.4						
T	-1.098506683	37.013412960	1523.5						
T	-1.098515063	37.013366365	1523.5						
T	-1.098527675	37.013315523	1523.5						
T	-1.098531800	37.013264672	1523.3						
T	-1.098531643	37.013213810	1523.2						
T	-1.098539964	37.013167171	1523.0						
T	-1.098539938	37.013158690	1523.0						
T	-1.098539860	37.013133243	1522.9						
T	-1.098539756	37.013099308	1522.8						
T	-1.098539626	37.013056878	1522.7						
T	-1.098543783	37.013031414	1522.6						
T	-1.098547955	37.012997464	1522.5						
T	-1.098547929	37.012980489	1522.4						
T	-1.098556336	37.012946530	1522.3						
T	-1.098564691	37.012908304	1522.2						
T	-1.098573026	37.012865817	1522.1						
T	-1.098581401	37.012836064	1522.0						
T	-1.098589753	37.012797804	1521.9						
T	-1.098602340	37.012759526	1521.7						
T	-1.098610685	37.012716989	1521.6						
T	-1.098619070	37.012687201	1521.5						
T	-1.098631679	37.012653143	1521.4						
T	-1.098644312	37.012614840	1521.3						
T	-1.098652692	37.012572273	1521.2						
T	-1.098665333	37.012533952	1521.1						
T	-1.098673774	37.012512659	1521.0						
T	-1.098682205	37.012487104	1521.0						
T	-1.098686388	37.012461544	1521.0						
T	-1.098690516	37.012414673	1520.9						
T	-1.098694591	37.012346473	1520.8						
T	-1.098707204	37.012291039	1520.7						
T	-1.098707139	37.012265446	1520.7						
T	-1.098707085	37.012244117	1520.7						
T	-1.098711295	37.012227051	1520.7						
T	-1.098715504	37.012209983	1520.7						
T	-1.098719694	37.012184378	1520.6						
T	-1.098728148	37.012163037	1520.6						
T	-1.098732339	37.012137424	1520.6						
T	-1.098745059	37.012120347	1520.5						
T	-1.098757781	37.012103267	1520.5						
T	-1.098770514	37.012090457	1520.5						
T	-1.098787494	37.012073374	1520.5						
T	-1.098808730	37.012056290	1520.5						
T	-1.098838461	37.012030660	1520.4						
T	-1.098846936	37.012013570	1520.4						
T	-1.098859667	37.011996479	1520.4						
T	-1.098885160	37.011975113	1520.4						
T	-1.098902177	37.011970840	1520.4						
T	-1.098919201	37.011970840	1520.4						
T	-1.098931993	37.011983660	1520.4						
T	-1.098949092	37.012026388	1520.4						
T	-1.098949122	37.012043476	1520.5						
T	-1.098944882	37.012052019	1520.5						
T	-1.098927877	37.012060561	1520.5						
T	-1.098906619	37.012069104	1520.5						
T	-1.098881123	37.012086187	1520.5						
T	-1.098855631	37.012103268	1520.5						
T	-1.098834405	37.012124617	1520.5						
T	-1.098821689	37.012145963	1520.6						
T	-1.098813218	37.012163037	1520.6						
T	-1.098796252	37.012184378	1520.6						
T	-1.098787784	37.012201449	1520.6						
T	-1.098779318	37.012218517	1520.7						
T	-1.098770872	37.012244117	1520.7						
T	-1.098766679	37.012269712	1520.7						
T	-1.098762518	37.012308097	1520.8						
T	-1.098762578	37.012333682	1520.8						
T	-1.098758427	37.012376314	1520.9						
T	-1.098754218	37.012393364	1520.9						
T	-1.098745789	37.012423196	1520.9						
T	-1.098737372	37.012457283	1520.9						
